GAME_NAME,CATEGORY
Lunacy: Saint Rhodes,Indie Game
MAD WAY,Adventure Game
MAD WAY,Simulation
MORODASHI SUMO,Indie Game
MORODASHI SUMO,Sports Game
Magic: The Gathering,Card & Board Game
Maitre des Fleurs,Party
Majotori,Adventure Game
Majotori,Indie Game
MapleStory,Platformer
MapleStory,RPG
Mario Kart 8 Deluxe,Arcade
Mario Kart 8 Deluxe,Driving/Racing Game
Mario Party Superstars,Card & Board Game
Mario Party Superstars,Party
Mega City Police,Action
Mega City Police,Shooter
Minecraft,Adventure Game
Minecraft,MMO
Minecraft,Simulation
Mon Bazou,Driving/Racing Game
Monopoly Plus,Adventure Game
Monopoly Plus,RPG
Mortal Kombat 1,Adventure Game
Mortal Kombat 1,Fighting
Mount & Blade II: Bannerlord,RPG
Mount & Blade II: Bannerlord,Simulation
Mount & Blade II: Bannerlord,Strategy
Music,Creative
Music,IRL
My Friendly Neighborhood,FPS
My Friendly Neighborhood,Shooter
NBA 2K Playgrounds 2,Arcade
NBA 2K Playgrounds 2,Sports Game
NBA 2K23,Simulation
NBA 2K23,Sports Game
No Fair Play,Indie Game
No Fair Play,Sports Game
Offroad Mechanic Simulator,Driving/Racing Game
Old School RuneScape,Action
Old School RuneScape,Adventure Game
Old School RuneScape,RPG
Old School RuneScape,Strategy
Only Climb: Better Together,Action
Only Climb: Better Together,Adventure Game
Only Climb: Better Together,FPS
Only Climb: Better Together,Indie Game
Only Climb: Better Together,RPG
Only Climb: Better Together,Shooter
Only Down,Adventure Game
Only Down,Indie Game
Only One Way Up,Adventure Game
"Only Up!",Adventure Game
"Only Up!",Indie Game
Overwatch 2,Action
Overwatch 2,Adventure Game
Overwatch 2,FPS
Overwatch 2,RPG
Overwatch 2,Shooter
Oxide Room 208,Action
Oxide Room 208,Adventure Game
Oxide: Room 104,Adventure Game
Oxide: Room 104,Indie Game
PUBG: BATTLEGROUNDS,Action
PUBG: BATTLEGROUNDS,FPS
PUBG: BATTLEGROUNDS,Shooter
Park Beyond,Simulation
Park Beyond,Strategy
Path of Exile,Action
Path of Exile,RPG
