ID,NAME,VIEWS,DATE
89,ASMR,12.5 mil espectadores,2023-07-23 01:36:00.0
90,NARAKA: BLADEPOINT,12.3 mil espectadores,2023-07-23 01:36:00.0
91,Só na conversa,382.4 mil espectadores,2023-07-23 01:53:00.0
92,Grand Theft Auto V,201.2 mil espectadores,2023-07-23 01:53:00.0
93,Apex Legends,103.9 mil espectadores,2023-07-23 01:53:00.0
94,League of Legends,80.3 mil espectadores,2023-07-23 01:53:00.0
95,VALORANT,65.5 mil espectadores,2023-07-23 01:53:00.0
96,Remnant II,47.4 mil espectadores,2023-07-23 01:53:00.0
97,Teamfight Tactics,40 mil espectadores,2023-07-23 01:53:00.0
98,Música,38.2 mil espectadores,2023-07-23 01:53:00.0
99,Fortnite,37.9 mil espectadores,2023-07-23 01:53:00.0
100,Diablo IV,36 mil espectadores,2023-07-23 01:53:00.0
101,Minecraft,31.6 mil espectadores,2023-07-23 01:53:00.0
102,Casino Slot Machine,29.8 mil espectadores,2023-07-23 01:53:00.0
103,Dead by Daylight,26.3 mil espectadores,2023-07-23 01:53:00.0
104,Tom Clancys Rainbow Six Siege,25.4 mil espectadores,2023-07-23 01:53:00.0
105,Call of Duty: Warzone,21.4 mil espectadores,2023-07-23 01:53:00.0
106,Street Fighter 6,20.2 mil espectadores,2023-07-23 01:53:00.0
107,Dota 2,20 mil espectadores,2023-07-23 01:53:00.0
108,Overwatch 2,16.6 mil espectadores,2023-07-23 01:53:00.0
109,Counter-Strike: Global Offensive,16.1 mil espectadores,2023-07-23 01:53:00.0
110,ARK: Survival Evolved,15.7 mil espectadores,2023-07-23 01:53:00.0
111,World of Warcraft,14.3 mil espectadores,2023-07-23 01:53:00.0
112,Baldurs Gate 3,13.7 mil espectadores,2023-07-23 01:53:00.0
113,Im Only Sleeping,13.3 mil espectadores,2023-07-23 01:53:00.0
114,Honkai: Star Rail,13.3 mil espectadores,2023-07-23 01:53:00.0
115,Call of Duty: Modern Warfare II,13.1 mil espectadores,2023-07-23 01:53:00.0
116,My Friendly Neighborhood,13 mil espectadores,2023-07-23 01:53:00.0
117,Black Desert,13 mil espectadores,2023-07-23 01:53:00.0
118,Slots,12.7 mil espectadores,2023-07-23 01:53:00.0
119,Grounded,12.6 mil espectadores,2023-07-23 01:53:00.0
120,NARAKA: BLADEPOINT,12.4 mil espectadores,2023-07-23 01:53:00.0
121,Só na conversa,359.1 mil espectadores,2023-07-23 02:10:00.0
122,Grand Theft Auto V,198.7 mil espectadores,2023-07-23 02:10:00.0
123,League of Legends,86.1 mil espectadores,2023-07-23 02:10:00.0
124,VALORANT,70.5 mil espectadores,2023-07-23 02:10:00.0
125,Remnant II,48 mil espectadores,2023-07-23 02:10:00.0
126,Teamfight Tactics,42.1 mil espectadores,2023-07-23 02:10:00.0
127,Apex Legends,42.8 mil espectadores,2023-07-23 02:10:00.0
128,Música,38.1 mil espectadores,2023-07-23 02:10:00.0
129,Fortnite,37.3 mil espectadores,2023-07-23 02:10:00.0
130,Diablo IV,36.1 mil espectadores,2023-07-23 02:10:00.0
131,Minecraft,30.3 mil espectadores,2023-07-23 02:10:00.0
132,Dead by Daylight,26.2 mil espectadores,2023-07-23 02:10:00.0
133,Casino Slot Machine,24.7 mil espectadores,2023-07-23 02:10:00.0
134,Dota 2,21.1 mil espectadores,2023-07-23 02:10:00.0
135,Counter-Strike: Global Offensive,19.5 mil espectadores,2023-07-23 02:10:00.0
136,Call of Duty: Warzone,18.5 mil espectadores,2023-07-23 02:10:00.0
137,Overwatch 2,16.8 mil espectadores,2023-07-23 02:10:00.0
138,Street Fighter 6,15.4 mil espectadores,2023-07-23 02:10:00.0
139,World of Warcraft,14.7 mil espectadores,2023-07-23 02:10:00.0
140,ARK: Survival Evolved,14.3 mil espectadores,2023-07-23 02:10:00.0
141,Baldurs Gate 3,13.8 mil espectadores,2023-07-23 02:10:00.0
142,Grounded,13.1 mil espectadores,2023-07-23 02:10:00.0
143,Call of Duty: Modern Warfare II,13.3 mil espectadores,2023-07-23 02:10:00.0
144,Black Desert,13.2 mil espectadores,2023-07-23 02:10:00.0
145,Honkai: Star Rail,13.6 mil espectadores,2023-07-23 02:10:00.0
146,My Friendly Neighborhood,12.8 mil espectadores,2023-07-23 02:10:00.0
147,ASMR,12.7 mil espectadores,2023-07-23 02:10:00.0
148,NARAKA: BLADEPOINT,12.6 mil espectadores,2023-07-23 02:10:00.0
149,Im Only Sleeping,12.2 mil espectadores,2023-07-23 02:10:00.0
150,Slots,11.5 mil espectadores,2023-07-23 02:10:00.0
151,Só na conversa,345.3 mil espectadores,2023-07-23 02:27:00.0
152,Grand Theft Auto V,193.5 mil espectadores,2023-07-23 02:27:00.0
153,League of Legends,79.8 mil espectadores,2023-07-23 02:27:00.0
154,VALORANT,69.3 mil espectadores,2023-07-23 02:27:00.0
155,Teamfight Tactics,41.7 mil espectadores,2023-07-23 02:27:00.0
156,Apex Legends,40.5 mil espectadores,2023-07-23 02:27:00.0
157,Música,37.6 mil espectadores,2023-07-23 02:27:00.0
158,Fortnite,35.4 mil espectadores,2023-07-23 02:27:00.0
159,Diablo IV,33.5 mil espectadores,2023-07-23 02:27:00.0
160,Remnant II,32.3 mil espectadores,2023-07-23 02:27:00.0
161,Minecraft,28.7 mil espectadores,2023-07-23 02:27:00.0
162,Dead by Daylight,26.5 mil espectadores,2023-07-23 02:27:00.0
163,Casino Slot Machine,24.9 mil espectadores,2023-07-23 02:27:00.0
164,Dota 2,19.4 mil espectadores,2023-07-23 02:27:00.0
165,Counter-Strike: Global Offensive,20.7 mil espectadores,2023-07-23 02:27:00.0
166,Call of Duty: Warzone,17.6 mil espectadores,2023-07-23 02:27:00.0
167,Overwatch 2,16.6 mil espectadores,2023-07-23 02:27:00.0
168,World of Warcraft,14.4 mil espectadores,2023-07-23 02:27:00.0
169,ARK: Survival Evolved,13.9 mil espectadores,2023-07-23 02:27:00.0
170,Baldurs Gate 3,13.6 mil espectadores,2023-07-23 02:27:00.0
171,My Friendly Neighborhood,13.6 mil espectadores,2023-07-23 02:27:00.0
172,Grounded,13.5 mil espectadores,2023-07-23 02:27:00.0
173,Street Fighter 6,13 mil espectadores,2023-07-23 02:27:00.0
174,ASMR,13.1 mil espectadores,2023-07-23 02:27:00.0
175,Call of Duty: Modern Warfare II,12.9 mil espectadores,2023-07-23 02:27:00.0
176,NARAKA: BLADEPOINT,13 mil espectadores,2023-07-23 02:27:00.0
177,Honkai: Star Rail,12.5 mil espectadores,2023-07-23 02:27:00.0
178,Black Desert,12.4 mil espectadores,2023-07-23 02:27:00.0
179,Im Only Sleeping,12.4 mil espectadores,2023-07-23 02:27:00.0
180,Slots,11.7 mil espectadores,2023-07-23 02:27:00.0
181,Só na conversa,271.9 mil espectadores,2023-07-23 02:44:00.0
182,Grand Theft Auto V,193.1 mil espectadores,2023-07-23 02:44:00.0
183,League of Legends,83.7 mil espectadores,2023-07-23 02:44:00.0
184,VALORANT,69.3 mil espectadores,2023-07-23 02:44:00.0
185,Teamfight Tactics,42.7 mil espectadores,2023-07-23 02:44:00.0
186,Diablo IV,41.6 mil espectadores,2023-07-23 02:44:00.0
187,Apex Legends,39.1 mil espectadores,2023-07-23 02:44:00.0
188,Música,36.1 mil espectadores,2023-07-23 02:44:00.0
189,Fortnite,33.4 mil espectadores,2023-07-23 02:44:00.0
190,Remnant II,33.3 mil espectadores,2023-07-23 02:44:00.0
191,Casino Slot Machine,30.9 mil espectadores,2023-07-23 02:44:00.0
192,Minecraft,27.5 mil espectadores,2023-07-23 02:44:00.0
193,Dead by Daylight,24.2 mil espectadores,2023-07-23 02:44:00.0
194,Counter-Strike: Global Offensive,21 mil espectadores,2023-07-23 02:44:00.0
195,Dota 2,19.1 mil espectadores,2023-07-23 02:44:00.0
196,Call of Duty: Warzone,18 mil espectadores,2023-07-23 02:44:00.0
197,Street Fighter 6,17.4 mil espectadores,2023-07-23 02:44:00.0
198,Overwatch 2,16 mil espectadores,2023-07-23 02:44:00.0
199,Grounded,13.9 mil espectadores,2023-07-23 02:44:00.0
200,ASMR,14 mil espectadores,2023-07-23 02:44:00.0
201,My Friendly Neighborhood,13.3 mil espectadores,2023-07-23 02:44:00.0
202,World of Warcraft,13.6 mil espectadores,2023-07-23 02:44:00.0
203,ARK: Survival Evolved,13.2 mil espectadores,2023-07-23 02:44:00.0
204,NARAKA: BLADEPOINT,12.8 mil espectadores,2023-07-23 02:44:00.0
205,Call of Duty: Modern Warfare II,12.6 mil espectadores,2023-07-23 02:44:00.0
206,Im Only Sleeping,12.6 mil espectadores,2023-07-23 02:44:00.0
207,Black Desert,11.8 mil espectadores,2023-07-23 02:44:00.0
208,Everybody 1-2-Switch,11.4 mil espectadores,2023-07-23 02:44:00.0
209,Slots,11.3 mil espectadores,2023-07-23 02:44:00.0
210,Escape from Tarkov,11.2 mil espectadores,2023-07-23 02:44:00.0
211,Só na conversa,258.1 mil espectadores,2023-07-23 03:01:00.0
212,Grand Theft Auto V,202.4 mil espectadores,2023-07-23 03:01:00.0
213,League of Legends,92.8 mil espectadores,2023-07-23 03:01:00.0
214,VALORANT,70.1 mil espectadores,2023-07-23 03:01:00.0
215,Diablo IV,42.7 mil espectadores,2023-07-23 03:01:00.0
216,Teamfight Tactics,41.9 mil espectadores,2023-07-23 03:01:00.0
217,Apex Legends,40 mil espectadores,2023-07-23 03:01:00.0
218,Música,34.2 mil espectadores,2023-07-23 03:01:00.0
219,Remnant II,33 mil espectadores,2023-07-23 03:01:00.0
220,Fortnite,33 mil espectadores,2023-07-23 03:01:00.0
221,Casino Slot Machine,30.5 mil espectadores,2023-07-23 03:01:00.0
222,Minecraft,27.1 mil espectadores,2023-07-23 03:01:00.0
223,Dead by Daylight,23.8 mil espectadores,2023-07-23 03:01:00.0
224,Counter-Strike: Global Offensive,20.7 mil espectadores,2023-07-23 03:01:00.0
225,Dota 2,19.7 mil espectadores,2023-07-23 03:01:00.0
226,Call of Duty: Warzone,17.5 mil espectadores,2023-07-23 03:01:00.0
227,Street Fighter 6,16.9 mil espectadores,2023-07-23 03:01:00.0
228,Overwatch 2,16.3 mil espectadores,2023-07-23 03:01:00.0
229,ASMR,14.9 mil espectadores,2023-07-23 03:01:00.0
230,Grounded,14.2 mil espectadores,2023-07-23 03:01:00.0
231,World of Warcraft,13.6 mil espectadores,2023-07-23 03:01:00.0
232,NARAKA: BLADEPOINT,12.5 mil espectadores,2023-07-23 03:01:00.0
233,Im Only Sleeping,12.9 mil espectadores,2023-07-23 03:01:00.0
234,Call of Duty: Modern Warfare II,11.5 mil espectadores,2023-07-23 03:01:00.0
235,Everybody 1-2-Switch,11.5 mil espectadores,2023-07-23 03:01:00.0
236,Black Desert,11.6 mil espectadores,2023-07-23 03:01:00.0
237,Escape from Tarkov,11.1 mil espectadores,2023-07-23 03:01:00.0
238,My Friendly Neighborhood,10.9 mil espectadores,2023-07-23 03:01:00.0
239,Slots,10.7 mil espectadores,2023-07-23 03:01:00.0
240,FIFA 23,10.4 mil espectadores,2023-07-23 03:01:00.0
241,Só na conversa,252.7 mil espectadores,2023-07-23 03:19:00.0
242,Grand Theft Auto V,203.8 mil espectadores,2023-07-23 03:19:00.0
243,League of Legends,108.8 mil espectadores,2023-07-23 03:19:00.0
244,VALORANT,68.1 mil espectadores,2023-07-23 03:19:00.0
245,Teamfight Tactics,46.5 mil espectadores,2023-07-23 03:19:00.0
246,Diablo IV,44.5 mil espectadores,2023-07-23 03:19:00.0
247,Apex Legends,39.4 mil espectadores,2023-07-23 03:19:00.0
248,Remnant II,33.3 mil espectadores,2023-07-23 03:19:00.0
249,Fortnite,33.2 mil espectadores,2023-07-23 03:19:00.0
250,Música,31.9 mil espectadores,2023-07-23 03:19:00.0
251,Casino Slot Machine,31.4 mil espectadores,2023-07-23 03:19:00.0
252,Dead by Daylight,23.1 mil espectadores,2023-07-23 03:19:00.0
253,FIFA 23,20.9 mil espectadores,2023-07-23 03:19:00.0
254,Minecraft,20.7 mil espectadores,2023-07-23 03:19:00.0
255,Counter-Strike: Global Offensive,20.4 mil espectadores,2023-07-23 03:19:00.0
256,Dota 2,19.6 mil espectadores,2023-07-23 03:19:00.0
257,Call of Duty: Warzone,18.3 mil espectadores,2023-07-23 03:19:00.0
258,Tekken 8,17.3 mil espectadores,2023-07-23 03:19:00.0
259,ASMR,16.7 mil espectadores,2023-07-23 03:19:00.0
260,Street Fighter 6,16.2 mil espectadores,2023-07-23 03:19:00.0
261,Overwatch 2,15.8 mil espectadores,2023-07-23 03:19:00.0
262,World of Warcraft,13.6 mil espectadores,2023-07-23 03:19:00.0
263,Grounded,13.5 mil espectadores,2023-07-23 03:19:00.0
264,Im Only Sleeping,12.2 mil espectadores,2023-07-23 03:19:00.0
265,Black Desert,11.9 mil espectadores,2023-07-23 03:19:00.0
266,Call of Duty: Modern Warfare II,10.8 mil espectadores,2023-07-23 03:19:00.0
267,Everybody 1-2-Switch,10.7 mil espectadores,2023-07-23 03:19:00.0
268,Slots,10.6 mil espectadores,2023-07-23 03:19:00.0
269,Escape from Tarkov,10.4 mil espectadores,2023-07-23 03:19:00.0
270,MapleStory,9.8 mil espectadores,2023-07-23 03:19:00.0
271,Só na conversa,242.2 mil espectadores,2023-07-23 03:36:00.0
272,Grand Theft Auto V,211.1 mil espectadores,2023-07-23 03:36:00.0
273,League of Legends,121.1 mil espectadores,2023-07-23 03:36:00.0
274,VALORANT,68.1 mil espectadores,2023-07-23 03:36:00.0
275,Teamfight Tactics,46 mil espectadores,2023-07-23 03:36:00.0
276,Diablo IV,45.5 mil espectadores,2023-07-23 03:36:00.0
277,Apex Legends,39.5 mil espectadores,2023-07-23 03:36:00.0
278,Fortnite,32.1 mil espectadores,2023-07-23 03:36:00.0
279,Remnant II,31.6 mil espectadores,2023-07-23 03:36:00.0
280,Casino Slot Machine,30.3 mil espectadores,2023-07-23 03:36:00.0
281,Música,26.5 mil espectadores,2023-07-23 03:36:00.0
282,Dead by Daylight,22.9 mil espectadores,2023-07-23 03:36:00.0
283,Counter-Strike: Global Offensive,21.5 mil espectadores,2023-07-23 03:36:00.0
284,Dota 2,20.7 mil espectadores,2023-07-23 03:36:00.0
285,FIFA 23,20.7 mil espectadores,2023-07-23 03:36:00.0
286,Call of Duty: Warzone,20 mil espectadores,2023-07-23 03:36:00.0
287,Minecraft,18.8 mil espectadores,2023-07-23 03:36:00.0
288,Tekken 8,17.7 mil espectadores,2023-07-23 03:36:00.0
289,ASMR,17.1 mil espectadores,2023-07-23 03:36:00.0
290,Overwatch 2,16.2 mil espectadores,2023-07-23 03:36:00.0
291,Street Fighter 6,14.6 mil espectadores,2023-07-23 03:36:00.0
292,World of Warcraft,13.5 mil espectadores,2023-07-23 03:36:00.0
293,Im Only Sleeping,13.4 mil espectadores,2023-07-23 03:36:00.0
294,Black Desert,12.2 mil espectadores,2023-07-23 03:36:00.0
295,Call of Duty: Modern Warfare II,10.1 mil espectadores,2023-07-23 03:36:00.0
296,Everybody 1-2-Switch,10.1 mil espectadores,2023-07-23 03:36:00.0
297,MapleStory,9.9 mil espectadores,2023-07-23 03:36:00.0
298,Slots,9.5 mil espectadores,2023-07-23 03:36:00.0
299,Escape from Tarkov,9.4 mil espectadores,2023-07-23 03:36:00.0
300,Honkai: Star Rail,9.4 mil espectadores,2023-07-23 03:36:00.0
301,Só na conversa,247.1 mil espectadores,2023-07-23 03:53:00.0
302,Grand Theft Auto V,224.2 mil espectadores,2023-07-23 03:53:00.0
303,League of Legends,117.6 mil espectadores,2023-07-23 03:53:00.0
304,VALORANT,59.8 mil espectadores,2023-07-23 03:53:00.0
